book_title,authors,description,cover_img,page_count,category,location,book_format,ratings
Introduction to the Theory of Computation,Michael Sipser,"Now you can clearly present even the most complex computational theory topics to your students with Sipser's distinct, market-leading INTRODUCTION TO THE THEORY OF COMPUTATION, 3E, International Edition. The number one choice for today's computational theory course, this highly anticipated revision retains the unmatched clarity and thorough coverage that make it a leading text for upper-level undergraduate and introductory graduate students.This edition continues author Michael Sipser's well-known, approachable style with timely revisions, additional exercises, and more memorable examples in key areas. A new first-of-its-kind theoretical treatment of deterministic context-free languages is ideal for a better understanding of parsing and LR grammars. This edition's refined presentation ensures a trusted accuracy and clarity that make the challenging study of computational theory accessible and intuitive to students while maintaining the subject's rigor and formalism. Readers gain a solid understanding of the fundamental mathematical properties of computer hardware, software, and applications with a blend of practical and philosophical coverage and mathematical treatments, including advanced theorems and proofs. INTRODUCTION TO THE THEORY OF COMPUTATION, 3E, International Edition's comprehensive coverage makes this an ideal ongoing reference tool for those studying theoretical computing.",https://covers.openlibrary.org/b/id/365184-L.jpg,458.0,Computer Science,"Federal University of Technology, Akure",soft_copy,4
Computer Security: Principles and Practice,William Stallings,"""Since the fourth edition of this book was published, the field has seen continued innovations and improvements. In this new edition, we try to capture these changes while maintaining a broad and comprehensive coverage of the entire field. There have been a number of refinements to improve pedagogy and user-friendliness, updated references, and mention of recent security incidents, along with a number of more substantive changes throughout the book""--",https://covers.openlibrary.org/b/id/13908067-L.jpg,0.0,Computer Science,University of Ilorin,hard_copy,4
Software Engineering,Ian Sommerville,"For courses in computer science and software engineering The Fundamental Practice of Software Engineering Software Engineering introduces readers to the overwhelmingly important subject of software programming and development. In the past few years, computer systems have come to dominate not just our technological growth, but the foundations of our world's major industries. This text seeks to lay out the fundamental concepts of this huge and continually growing subject area in a clear and comprehensive manner. The Tenth Edition contains new information that highlights various technological updates of recent years, providing readers with highly relevant and current information. Sommerville's experience in system dependability and systems engineering guides the text through a traditional plan-based approach that incorporates some novel agile methods. The text strives to teach the innovators of tomorrow how to create software that will make our world a better, safer, and more advanced place to live.",https://covers.openlibrary.org/b/id/3973371-L.jpg,816.0,Computer Science,University of Jos,soft_copy,4
Discrete Mathematics and Its Applications,Kenneth Rosen,"This text is designed for the sophomore/junior level introduction to discrete mathematics taken by students preparing for future coursework in areas such as math, computer science and engineering. Rosen has become a bestseller largely due to how effectively it addresses the main portion of the discrete market, which is typically characterized as the mid to upper level in rigor. The strength of Rosen's approach has been the effective balance of theory with relevant applications, as well as the overall comprehensive nature of the topic coverage. Copyright © Libri GmbH. All rights reserved.",http://books.google.com/books/content?id=sGV8wMDAd_QC&printsec=frontcover&img=1&zoom=1&source=gbs_api,332.0,Computer Science,"Federal University of Technology, Akure",hard_copy,4
Computer Architecture: A Quantitative Approach,John L. Hennessy,"The computing world is in the middle of a revolution: mobile clients and cloud computing have emerged as the dominant paradigms driving programming and hardware innovation. This book focuses on the shift, exploring the ways in which software and technology in the 'cloud' are accessed by cell phones, tablets, laptops, and more",https://covers.openlibrary.org/b/id/8235535-L.jpg,858.0,Computer Science,University of Ibadan,soft_copy,4
Programming Language Pragmatics,Michael L. Scott,"Accompanying CD-ROM contains ... ""advanced/optional content, hundreds of working examples, an active search facility, and live links to manuals, tutorials, compilers, and interpreters on the World Wide Web.""--Page 4 of cover.",https://covers.openlibrary.org/b/id/784130-L.jpg,916.0,Computer Science,"Federal University of Technology, Akure",hard_copy,4
Artificial Intelligence: A Modern Approach,Stuart Russell,"Artificial intelligence: A Modern Approach, 3e,is ideal for one or two-semester, undergraduate or graduate-level courses in Artificial Intelligence. It is also a valuable resource for computer professionals, linguists, and cognitive scientists interested in artificial intelligence. The revision of this best-selling text offers the most comprehensive, up-to-date introduction to the theory and practice of artificial intelligence.",http://books.google.com/books/content?id=8jZBksh-bUMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1153.0,Computer Science,University of Port Harcourt,soft_copy,5
Data Structures and Algorithm Analysis,Mark Allen Weiss,"Mark Allen Weiss' successful book provides a modern approach to algorithms and data structures using the C programming language. The book's conceptual presentation focuses on ADTs and the analysis of algorithms for efficiency, with a particular concentration on performance and running time. This edition contains a new chapter that examines advanced data structures such as red black trees, top down splay trees, treaps, k-d trees, and pairing heaps among others. All code examples now conform to ANSI C and coverage of the formal proofs underpinning several key data structures has been strengthened.",https://covers.openlibrary.org/b/id/193887-L.jpg,536.0,Computer Science,University of Port Harcourt,soft_copy,3
Computer Vision: Algorithms and Applications,Richard Szeliski,"Computer Vision: Algorithms and Applications explores the variety of techniques commonly used to analyze and interpret images. It also describes challenging real-world applications where vision is being successfully used, both for specialized applications such as medical imaging, and for fun, consumer-level tasks such as image editing and stitching, which students can apply to their own personal photos and videos. More than just a source of “recipes,” this exceptionally authoritative and comprehensive textbook/reference also takes a scientific approach to basic vision problems, formulating physical models of the imaging process before inverting them to produce descriptions of a scene. These problems are also analyzed using statistical models and solved using rigorous engineering techniques. Topics and features: structured to support active curricula and project-oriented courses, with tips in the Introduction for using the book in a variety of customized courses; presents exercises at the end of each chapter with a heavy emphasis on testing algorithms and containing numerous suggestions for small mid-term projects; provides additional material and more detailed mathematical topics in the Appendices, which cover linear algebra, numerical techniques, and Bayesian estimation theory; suggests additional reading at the end of each chapter, including the latest research in each sub-field, in addition to a full Bibliography at the end of the book; supplies supplementary course material for students at the associated website, http://szeliski.org/Book/. Suitable for an upper-level undergraduate or graduate-level course in computer science or engineering, this textbook focuses on basic techniques that work under real-world conditions and encourages students to push their creative boundaries. Its design and exposition also make it eminently suitable as a unique reference to the fundamental techniques and current research literature in computer vision.",http://books.google.com/books/content?id=bXzAlkODwa8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,824.0,Computer Science,Covenant University,hard_copy,5
Constitutional Law,Erwin Chemerinsky,"CONSTITUTIONAL LAW: Principles and Policies continues to serve as an incomparably clear introduction to both doctrine and policy in its Third Edition. This highly successful student treatise offers distinct advantages: thorough treatment of all areas of constitutional law covered in both beginning and advanced courses direct, unambiguous identification of the issues takes a neutral approach that examines all sides of constitutional law debates presents both the doctrines And The underlying policy issues of the law, unlike many other texts which emphasize one or the other flexible organization allows the chapters to be used in any order For the Third Edition, The author: updates the entire text, with new material introduced throughout pays special attention to developments between editions, particularly in regard to presidential power in the war on terrorism, The many decisions concerning state sovereign immunity, The controversial rulings concerning the takings clause, The important decisions concerning affirmative action by colleges and universities, and significant developments concerning the Establishment Clause (such as the approval of vouchers And The Ten Commandments decisions) covers the most recent and significant cases, among them Hamdi v. Rumsfeld (executive power to detain enemy combatants), Nevada Department of Human Resources v. Hibbs and Tennessee v. Lane (sovereign immunity), Gonzales v. Raich (Congressiquest;s ability to prohibit possession and cultivation of marijuana for medicinal purposes), City of New London, Connecticut v. Kelo (takings clause), Grutter v. Bollinger and Gratz v. Bollinger (equal protection), Lawrence v. Texas (sexual privacy), and Zelman v. Simmons-Harris (vouchers)",https://covers.openlibrary.org/b/id/460955-L.jpg,1386.0,Law,Covenant University,soft_copy,3
"Contract Law: Text, Cases, and Materials",Ewan McKendrick,"Celebrated and respected, this is the stand-alone guide to contract law, written by renowned contract lawyer Professor Ewan McKendrick. It uses a unique balance of commentary, cases, and materials to show students the law at work and help them to gain a thorough understanding.",http://books.google.com/books/content?id=1lq_zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1088.0,Law,"Federal University of Technology, Minna",soft_copy,3
"Tort Law: Text, Cases, and Materials",Jenny Steele,"This new text offers a stimulating and thought-provoking guide to tort law. It combines a wealth of substantial extracts from cases and materials with insightful author commentary and explanations to create a complete learning resource for students. The author's clear writing style enables students to gain a secure understanding of the fundamental principles of the subject, as well as guiding students through the more complex issues. This text presents a range of perspectives, and provides students with the detailed knowledge and analytical tools required to engage fully with this fascinating subject. Designed as a stand-alone textbook, undergraduates will find everything they need in this one convenient and easy-to-use volume.",http://books.google.com/books/content?id=OaUrZG0fDaMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,979.0,Law,University of Ibadan,soft_copy,3
International Law,Malcolm N. Shaw,The fourth edition of Malcolm Shaw's comprehensive and highly readable introduction to international law.,https://covers.openlibrary.org/b/id/357776-L.jpg,939.0,Law,University of Ibadan,soft_copy,3
Property Law,Joseph William Singer,"Acclaimed for its textual clarity and socially progressive perspective, PROPERTY LAW: Rules, Policies, and Practices continues to serve as the foundation of an enlightening and effective course in its Fourth Edition. This thorough revision builds on the strengths that make the casebook so successful: respected authorship of Professor Joseph William Singer, a well-known and highly regarded expert in the field exceptionally clear explication of property rules and concepts that helps to introduce important themes and elements of the law to first-year students socially progressive yet even-handed sensibility with strong ethical coverage -- unique among Property casebooks balanced coverage of both traditional and non-traditional topics combines all the bases of any Property course (such as access, relation among neighbors, common ownership, leaseholds, real estate transactions, land use regulations, and takings) with interesting socio-economic topics, such as fair housing law, tribal property, and property in people (slavery, body parts, frozen embryos, etc.) cases-and-problems approach to teaching that promotes learning and stimulates class discussion sound organization to encourage efficient progress through the material excellent case selection focusing on recent cases and contemporary social problems thorough Teacheriquest;s Manual including answers to problems and teaching tips author website (www.law.harvard.edu/faculty/jsinger) provides timely updates as well as a discussion board for professors Changes For The Fourth Edition keep the casebook timely and teachable: the entire book is fully updated to reflect changes in the law and emerging issues in various areas important new cases include Bonnichsen v. USDA, Tahoe-Sierra Preservation Council Inc. v. Tahoe Regional Planning Agency, Brown v. Legal Foundation of Washington, Wayne County v. Hathcock, Goodridge v. Dept. Of Public Health, Lingle v. Chevron U.S.A., Kelo v. City of New London, and San Remo Hotel v. City and County of San Francisco in response To The significant changes in Supreme Court doctrine in the last several years, The Takings chapter is completely updated and reorganized to reflect the current state of the law modernized and tightened notes and problems throughout the book",https://covers.openlibrary.org/b/id/4344377-L.jpg,1286.0,Law,Afe Babalola University,hard_copy,4
Evidence,Christopher B. Mueller,"Evidence Under the Rules, Sixth Edition, frames engaging problems and seminal cases in an eminently clear organization that adapts to a variety of teaching approaches. Smart and unassuming, Evidence Under the Rules continues to feature: a respected and well-known author team —Mueller and Kirkpatrick are experts and trusted authors in the field of evidence a logical and clear organization structured around the Federal Rules of Evidence effectively balanced pedagogy —lucid exposition, problems, and carefully edited cases numerous and engaging problems that give students practice applying the Federal Rules of Evidence focused case excerpts that home in on the relevant evidentiary aspects of the case a flexible organization that adapts to a variety of teaching approaches a detailed Teacher's Manual a new guide to excerpts from the media demonstrating the FRE being applied—or misapplied a companion 2008 Statutory and Case Supplement The Sixth Edition offers renewed timeliness and excellence, through: numerous new and highly teachable problems A DVD, available to professors for classroom use, featuring movie clips that illustrate and dramatize important points of evidence new material on post-Crawford developments regarding the right of confrontation coverage of the 2006 amendments To The FRE 404, 408, 606, and 609 revised treatment of scientific evidence recent and significant case law For a well-constructed problem-based casebook that won’t throw a veil over the Federal Rules of Evidence, examine the Sixth Edition of Evidence Under the Rules . You’ll discover that it supports your teaching.",https://covers.openlibrary.org/b/id/4100184-L.jpg,984.0,Law,"Federal University of Technology, Minna",soft_copy,4
Legal Ethics,Deborah L. Rhode,"Combining rigorous analysis of the professional rules of lawyer conduct with extensive interdisciplinary materials on the legal profession and ethics, this casebook offers a unique perspective on the professional challenges facing contemporary lawyers--and their opportunity to promote the public good. The book combines real-life problems, doctrinal and statutory analysis, and carefully-edited readings to offer a comprehensive and critical examination of the role of lawyers as client representatives and democratic citizens. Many of the chapters can be used as independent units for courses focusing on ethical problems in corporate practice, tax practice, family law, and public interest law. The seventh edition also includes extensive revisions that provide new analysis of core professional rules, enhanced organizational formats, and critical additions to the case law and professional literature. Key changes include expanded coverage of how the lawyer-client relationship begins and ends; important updates to the materials on confidentiality, conflicts of interest, and market regulation; and new research on access to justice and the challenges to contemporary legal education.",https://covers.openlibrary.org/b/id/4257289-L.jpg,0.0,Law,Afe Babalola University,soft_copy,3
Administrative Law,Stephen G. Breyer,"Help your students master the principles of administrative law in an era of change with this new edition of the renowned casebook ADMINISTRATIVE LAW AND REGULATORY POLICY: Problems, Text, and Cases, Fourth Edition. The book correlates issues of regulatory policy with doctrinal problems to explore the relationship between administrative government and democratic goals. Their extensively revised casebook now offers more explanatory materials, more concise text, many new cases, and reorganized material for greater accessibility. New co-authors Cas Sunstein and Matthew Spitzer join renowned administrative law authorities Stephen Breyer and Richard Stewart to offer a matchless view of administrative law, including: how agencies promote - political legitimacy how different understandings of democracy bear on evaluation of administrative government the multiple purposes of administrative agencies Emphasizing cutting-edge issues such as the regulation of risks to life and health and regulation of telecommunications, ADMINISTRATIVE LAW AND REGULATORY POLICY: Problems, Text, and Cases, Fourth Edition, covers new ground, including: the President's changing relationship To The administrative system recent and proposed congressional initiatives judicial developments in the nature of legal interpretation the role of the judiciary in protecting traditional and nontraditional rights against agency interference or from agency abdication the landmark Chevron decision, including issues of standing and evaluation 'frontiers' issues such as cost-benefit analysis, 'low cost' methods of achieving regulatory goals, and 'health-health' tradeoffs The accompanying Teacher's Manual contains answers to all the problems in the book. To fully explore the nature and social significance of administrative law, complete with historical elements, turn to Breyer, Stewart, Sunstein, and Spitzer's thoughtful and thorough Fourth Editions.",https://covers.openlibrary.org/b/id/460787-L.jpg,1136.0,Law,"University of Nigeria, Nsukka",hard_copy,5
Corporate Law,Stephen Bainbridge,"Corporations classes present students with two related problems: First, many students have trouble understanding the cases studied because they do not understand the transactions giving rise to those cases. Second, Corporations classes at many law schools are taught from a law and economics perspective, which many students find unfamiliar and/or daunting. Yet, with few exceptions, corporate law treatises and other study aids have essentially ignored the law and economics revolution. This book is intended to remedy these difficulties. The pedagogy is up-to - date, with a strong emphasis on the doctrinal issues taught in today's Corporations classes and, equally important, a mainstream economic analysis of the major issues in the course. As such, the text is coherent and cohesive: It provides students not only with an overview of the course, but also (and more importantly) with a unifying method of thinking about the course. Using a few basic tools of law and economics-price theory, game theory, and the theory of the firm literature-students will come to see corporate law as the proverbial ""seamless web."" Finally, the text is highly readable: The style is simple, direct, and reader- friendly. Even when dealing with complicated economic or financial issues, the text seeks to make those issues readily accessible.",https://covers.openlibrary.org/b/id/13527629-L.jpg,532.0,Law,Lead City University,soft_copy,5
Family Law,William P. Statsky,"The leader in the field, the third edition has been used at more than 500 paralegal programs. It provides comprehensive, accurate coverage with an emphasis on paralegal skills and techniques. The fourth edition now includes edited cases and is thoroughly updated. State-specific supplements are also available for Texas, California, Florida, and New York. In addition, this comprehensive text can also be used as a desk resource for paralegals on the job.",https://covers.openlibrary.org/b/id/1730205-L.jpg,648.0,Law,Babcock University,hard_copy,3
Intellectual Property,Craig Allen Nard,"This book offers thorough coverage of international intellectual property law, with a text which is detailed and rich with case references and analysis, yet complete in one easily accessible volume. It will meet the needs of practicing lawyers, law teachers and scholars, and law students. It is as up-to-date as possible, as it includes the Trademark Treaty Revision of 1998 and the Digital Millennium Copyright Act of 1998 and the 1998 Copyright Term Extension Act and Fairness in Music Licensing Act. This work was originally published as a monograph in the International Encyclopedia of Laws, Intellectual Property.",https://covers.openlibrary.org/b/id/10390267-L.jpg,404.0,Law,"University of Nigeria, Nsukka",hard_copy,3
Civil Procedure,Stephen C. Yeazell,"Federal Rules of Civil Procedure, by Stephen C. Yeazell, Joanna C. Schwartz, and Maureen Carroll, is a supplement with statutes, cases, and materials. New to the 2022 Edition: New and streamlined section about modern personal jurisdiction cases, including newly-decided Supreme Court decisions. Updated Rule 30 (b)(6) 2020 Amendments to Rule 30 Professors and students will benefit from: Federal Rules of Civil Procedure for the United States District Courts The Constitution of the United States Selected Provisions from United States Code, Title 28: Judiciary and Judicial Procedure Supplementary Cases, Notes, and Other Materials",https://covers.openlibrary.org/b/id/5068097-L.jpg,0.0,Law,Lagos State University,soft_copy,4
Legal Research and Writing,Richard K. Neumann Jr.,"Surveys the mathematical theory and applications such as computer networks, VLSI circuits, and data structures.",http://books.google.com/books/content?id=WURHOgM5pI8C&printsec=frontcover&img=1&zoom=1&source=gbs_api,209.0,Law,Babcock University,soft_copy,4
Labor Law,Cox and Bok,"Hardbound - New, hardbound print book.",http://books.google.com/books/content?id=Y__BDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,0.0,Law,University of Benin,hard_copy,5
Criminal Procedure,Joshua Dressler,"This softcover book contains a complete, unchanged reprint of Chapter 1 and Chapters 11-19 of Dressler and Thomas' Criminal Procedure: Principles, Policies and Perspectives, Fourth Edition.",https://covers.openlibrary.org/b/id/12831067-L.jpg,0.0,Law,Afe Babalola University,hard_copy,4
International Human Rights,Philip Alston,"""The successor to International human rights in context: law, politics and morals.""",https://covers.openlibrary.org/b/id/12853235-L.jpg,1622.0,Law,"Federal University of Technology, Akure",hard_copy,3
Jurisprudence,Brian Bix,Previous edition : 1996 (1st).,https://covers.openlibrary.org/b/id/687943-L.jpg,304.0,Law,University of Jos,hard_copy,3
Principles of Economics,N. Gregory Mankiw,"In writing this textbook, Mankiw has tried to put himself in the position of someone seeing economics for the first time. The author's conversational writing style is superb for presenting the politics and science of economic theories to tomorrow's decision-makers. Because Mankiw wrote it for the students, the book stands out among all other principle texts by intriguing students to apply an economic way of thinking in their daily lives. Receiving such a praise as ""perhaps the best ever"" textbook in economic principles, it's no wonder Mankiw's prize project has quickly become one of the most successful books ever to be published in the college marketplace.",https://covers.openlibrary.org/b/id/19884-L.jpg,896.0,Economics,"Federal University of Technology, Akure",soft_copy,3
Microeconomic Theory,Andreu Mas-Colell,"The MznLnx Exam Prep series is designed to help you pass your exams. Editors at MznLnx review your textbooks and then prepare these practice exams to help you master the textbook material. Unlike study guides, workbooks, and practice tests provided by the texbook publisher and textbook authors, MznLnx gives you all of the material in each chapter in exam form, not just samples, so you can be sure to nail your exam.",https://covers.openlibrary.org/b/id/123200-L.jpg,158.0,Economics,Lead City University,hard_copy,4
Macroeconomics,Olivier Blanchard,"Blanchard presents a unified and global view of macroeconomics, enabling students to see the connections between the short-run, medium-run, and long-run. From the major economic crisis to the budget deficits of the United States, the detailed boxes in this text have been updated to convey the life of macroeconomics today and reinforce the lessons from the models, making them more concrete and easier to grasp.",https://covers.openlibrary.org/b/id/1108624-L.jpg,553.0,Economics,University of Lagos,soft_copy,3
Development Economics,Debraj Ray,"The study of development in low-income countries is attracting more attention around the world than ever before. Yet until now there has been no comprehensive text that incorporates the huge strides made in the subject over the past decade. Development Economics does precisely that in a clear, rigorous, and elegant fashion. Debraj Ray, one of the most accomplished theorists in development economics today, presents in this book a synthesis of recent and older literature in the field and raises important questions that will help to set the agenda for future research. He covers such vital subjects as theories of economic growth, economic inequality, poverty and undernutrition, population growth, trade policy, and the markets for land, labor, and credit. A common point of view underlies the treatment of these subjects: that much of the development process can be understood by studying factors that impede the efficient and equitable functioning of markets. Diverse topics such as the new growth theory, moral hazard in land contracts, information-based theories of credit markets, and the macroeconomic implications of economic inequality come under this common methodological umbrella. The book takes the position that there is no single cause for economic progress, but that a combination of factors--among them the improvement of physical and human capital, the reduction of inequality, and institutions that enable the background flow of information essential to market performance--consistently favor development. Ray supports his arguments throughout with examples from around the world. The book assumes a knowledge of only introductory economics and explains sophisticated concepts in simple, direct language, keeping the use of mathematics to a minimum. Development Economics will be the definitive textbook in this subject for years to come. It will prove useful to researchers by showing intriguing connections among a wide variety of subjects that are rarely discussed together in the same book. And it will be an important resource for policy-makers, who increasingly find themselves dealing with complex issues of growth, inequality, poverty, and social welfare.",https://covers.openlibrary.org/b/id/440178-L.jpg,868.0,Economics,Lagos State University,soft_copy,5
Game Theory,Roger B. Myerson,"Eminently suited to classroom use as well as individual study, Roger Myerson's introductory text provides a clear and thorough examination of the models, solution concepts, results, and methodological principles of noncooperative and cooperative game theory. Myerson introduces, clarifies, and synthesizes the extraordinary advances made in the subject over the past fifteen years, presents an overview of decision theory, and comprehensively reviews the development of the fundamental models: games in extensive form and strategic form, and Bayesian games with incomplete information. Game Theory will be useful for students at the graduate level in economics, political science, operations research, and applied mathematics. Everyone who uses game theory in research will find this book essential.",https://covers.openlibrary.org/b/id/5311229-L.jpg,588.0,Economics,Landmark University,hard_copy,4
Econometrics,James H. Stock,"Designed for a first course in introductory econometrics, Introduction to Econometrics, reflects modern theory and practice, with interesting applications that motivate & and match up with the & theory to ensure students grasp the relevance of econometrics. Authors James H. Stock and Mark W. Watson integrate real-world questions and data into the development of the theory, with serious treatment of the substantive findings of the resulting empirical analysis.",https://covers.openlibrary.org/b/id/1176845-L.jpg,746.0,Economics,Covenant University,soft_copy,3
Public Finance,Harvey S. Rosen,Textbook,https://covers.openlibrary.org/b/id/3877270-L.jpg,686.0,Economics,Babcock University,soft_copy,5
